agno,azucar,celulosa,cemento,cobre,comercial,hierro,industrias_varias,minas_varias,pesca,petroquimica,publico,refineria,residencial,siderurgia,transporte_aereo,transporte_caminero_carga,transporte_caminero_pasajeros,transporte_ferroviario_carga,transporte_ferroviario_pasajeros,transporte_maritimo,Escenario Base
2017,906.6300000000001,23151.649999999998,2566.2000000000003,38366.22,16826.76,2029.71,33089.52999999999,7219.960000000002,2570.32,45.99,2997.36,4706.27,44874.86999999999,1395.3700000000001,5599.03,17659.91,68628.56,461.22,370.77,3796.16,277262.49
2018,906.6300000000001,23184.37,2647.9600000000005,39432.45,18008.690000000002,2037.77,33283.6,7379.300000000002,2570.32,45.19,3117.24,4706.27,46329.160000000025,1395.3700000000001,6487.14,18453.99,71328.94000000002,482.23,390.01,3969.01,286164.54
2019,906.6300000000001,23184.37,2752.7700000000004,42809.299999999996,19209.5,2046.94,33648.84999999999,7564.540000000002,2570.32,45.19,3220.1200000000003,4706.27,47768.39999999996,1395.3700000000001,4974.14,19214.52,72757.88000000002,503.08,435.57,4118.04,293938.73
2020,906.6300000000001,23184.37,2874.63,44947.270000000004,20319.87,2057.17,34091.84999999999,7773.000000000002,2570.32,45.19,3324.6699999999996,4706.27,49168.85000000002,1395.3700000000001,5307.58,19810.160000000003,73608.33000000003,521.97,435.58000000000004,4270.17,301548.38
2021,906.6300000000001,23899.629999999997,2985.5800000000004,45501.01,21494.44,2067.22,34570.65999999999,7995.800000000002,2570.32,45.19,3430.8999999999996,4706.27,50335.55000000002,1395.3700000000001,5657.58,20543.670000000002,74533.56000000003,541.57,447.65000000000003,4425.4,308371.62
2022,906.6300000000001,28906.420000000002,3088.3100000000004,47321.18,22660.739999999998,2077.09,35065.84999999999,8219.200000000003,2570.32,45.19,3538.7700000000004,4706.27,51358.57000000001,1395.3700000000001,6024.58,21267.200000000004,75414.13000000002,560.67,478.7,4583.68,320672.94
2023,906.6300000000001,28906.420000000002,3184.84,49026.46000000001,23850.24,2086.78,35568.189999999995,8442.920000000002,2570.32,45.19,3648.2299999999996,4706.27,52348.07999999999,1395.3700000000001,6409.03,21995.440000000002,76285.94,579.8,478.71,4744.99,327808.81
2024,906.6300000000001,28906.420000000002,3276.57,49909.020000000004,25060.01,2096.3,36072.57999999999,8666.720000000001,2570.32,45.19,3759.2900000000004,4706.27,53324.490000000005,1395.3700000000001,6811.36,22727.18,77076.78,598.93,501.56,4909.3,334154.94
2025,903.76,28173.340000000004,3328.2500000000005,49788.61000000001,26286.869999999995,1750.71,34403.70999999999,8499.73,2415.54,45.19,3871.88,4706.27,54290.53000000002,1341.82,7231.99,23461.16,78093.08,618.0,506.60999999999996,5076.57,340297.63
2026,903.7499999999999,28175.290000000008,3388.5099999999993,49082.64,27527.4,1758.4700000000003,34902.57000000001,8738.159999999998,2403.8299999999995,45.19,3985.99,4706.27,55245.35999999999,1342.74,7671.34,24196.11,78269.20999999999,636.98,648.97,5246.76,345441.13
2027,903.76,28176.59,3446.14,49288.28000000001,28826.45,1766.0499999999997,35406.94,8975.720000000001,2395.2199999999993,45.19,4101.58,4706.27,56201.479999999996,1343.66,8129.79,24950.719999999998,78524.46,656.54,660.63,5419.83,351514.78
2028,903.73,28176.700000000004,3501.46,49119.34999999999,30135.969999999998,1773.4299999999998,35927.93999999999,9209.35,2386.6099999999997,45.19,4218.62,4706.27,57144.04000000002,1343.02,8607.75,25704.77,78746.31,675.95,660.63,5595.75,357243.3
2029,903.75,28176.830000000005,3554.6300000000006,49816.729999999996,31451.820000000003,1780.48,36443.88,9437.65,2378.3499999999995,45.19,4337.069999999999,4706.27,58071.51000000003,1342.26,9105.58,26456.899999999998,78902.28,695.17,673.58,5774.45,363851.45
2030,903.74,28180.5,3605.73,50529.420000000006,32825.159999999996,1787.34,36957.46000000001,9664.130000000001,2371.5499999999993,45.19,4456.900000000001,4706.27,58992.409999999974,1341.51,9623.65,27227.5,78530.29,714.94,673.59,5955.9,370499.3
2031,903.79,28189.489999999998,3651.340000000001,51283.74,34200.61,1795.03,37467.39,9894.800000000001,2378.2999999999997,45.19,4578.06,4706.27,59904.02999999999,1341.51,10162.29,27994.489999999998,78155.13000000002,734.45,673.59,6140.05,377080.12
2032,903.92,28199.800000000003,3702.4700000000003,52050.939999999995,35633.7,1802.5400000000002,38008.51,10122.85,2381.3699999999994,45.19,4700.5,4706.27,60813.57999999999,1341.51,10721.85,28779.45,77806.61999999998,754.49,673.6,6326.85,382718.35
2033,903.97,28208.780000000002,3754.7,52827.61000000001,37126.85999999999,1810.21,38555.329999999994,10349.859999999999,2384.4699999999993,45.19,4824.219999999999,4706.27,61715.55000000001,1341.51,11302.63,29582.730000000003,77402.74999999999,775.08,673.61,6516.23,388417.02
2034,903.9699999999999,28221.76,3806.870000000001,53613.119999999995,38617.22,1817.54,39100.1,10576.69,2387.5499999999993,45.19,4949.17,4706.27,62593.88,1341.51,11904.92,30380.29,76766.60000000002,795.35,673.61,6708.16,393121.43
2035,903.9699999999999,28238.360000000004,3859.6,54420.24999999999,40167.4,1824.87,39652.11,10803.86,2390.6399999999994,45.19,5075.31,4706.27,63467.99,1341.51,12529.02,31195.58,76470.5,816.15,673.62,6902.57,399121.32
2036,903.9799999999999,28255.0,3912.5900000000006,55236.23,41779.80999999999,1832.0300000000002,39934.91,11032.42,2393.7299999999996,45.19,5202.56,4706.27,64328.77999999998,1341.51,13175.18,32028.89,75825.48999999999,837.49,673.63,7099.4,404929.69
2037,903.9899999999999,28271.65,3965.6300000000006,56066.079999999994,43383.46000000001,1839.18,40483.829999999994,11266.310000000001,2396.7999999999997,45.19,5330.929999999999,4706.27,65163.039999999986,1341.51,13843.63,32854.2,74696.02,858.44,673.64,7298.59,410315.95
2038,904.0,28288.26,4018.57,56908.140000000014,45048.65000000001,1845.99,41032.73999999999,11500.120000000003,2399.8999999999996,45.19,5460.36,4706.27,65982.90999999999,1341.51,14534.6,33696.83,73454.39000000004,879.91,673.65,7500.09,415752.07
2039,904.0,28304.870000000006,4071.27,57762.40000000001,46777.75,1852.97,41579.4,11733.77,2402.99,45.19,5590.799999999999,4706.27,66793.29999999996,1341.51,15248.3,34557.07,71987.35000000002,901.92,673.65,7703.82,421125.9
2040,904.0,28321.480000000007,4123.6,58629.54,48573.22,1859.43,42124.0,11967.06,2406.0699999999997,45.19,5722.219999999998,4706.27,67593.39000000003,1341.51,15984.9,35435.21,69295.74,924.48,673.6700000000001,7909.74,425475.82
2041,738.2100000000002,28343.3,4175.4800000000005,59499.46,50352.23999999999,1866.23,42464.59,12030.620000000003,2409.16,45.34,5854.560000000001,4706.27,68380.63,1341.51,16744.56,36302.48,65512.52,946.56,673.6700000000001,8117.76,430883.97
2042,728.4900000000001,28359.920000000002,4227.67,60392.36,52196.399999999994,1872.51,43004.76999999999,12263.600000000002,2412.24,45.34,5987.82,4706.27,69176.76999999997,1341.51,17527.43,37186.84,62927.49,969.15,673.6800000000001,8327.83,436522.29
2043,718.7600000000001,28376.540000000005,4279.070000000001,61298.24000000001,54108.1,1878.98,43542.88,12495.800000000001,2415.43,45.34,6121.909999999999,4706.27,69978.64000000006,1341.51,18333.61,38091.94,60592.77,992.29,673.69,8539.87,442718.39
2044,709.0300000000001,28386.070000000007,4329.67,62218.26000000001,56089.82,1885.2600000000002,44085.29,12728.010000000002,2418.5199999999995,45.34,6256.8,4706.27,70782.86,1341.51,19163.22,38812.880000000005,60819.77000000001,1015.98,673.7,8753.82,450328.92
2045,699.3100000000001,28385.41,4379.36,63151.81999999999,58144.11,1891.19,44648.880000000005,12958.150000000001,2421.6099999999997,45.34,6392.4800000000005,4706.27,71588.01,1341.51,20016.31,39546.979999999996,60757.07,1040.24,673.72,8969.62,458111.37
2046,689.58,28373.250000000004,4428.129999999999,64073.61,60171.51000000001,1897.13,45446.600000000006,13161.67,2404.1199999999994,45.34,6528.85,4706.27,72373.04999999996,1341.51,20892.95,37469.909999999996,58755.929999999986,1063.89,673.73,9187.19,465869.4
2047,679.8600000000001,28373.97,4475.9,65034.95000000001,62269.6,1903.23,45969.37,13389.110000000002,2407.1999999999994,45.34,6665.9299999999985,4706.27,73152.22999999998,1341.51,21793.16,32696.06,59136.57999999999,1088.08,673.74,9406.45,473761.53
2048,670.1400000000001,28375.710000000003,4522.619999999999,66010.57,64440.85,1908.81,46489.98,13614.960000000001,2410.2799999999997,45.34,6803.61,4706.27,73926.58,1341.51,22716.95,33445.770000000004,59394.06999999999,1112.82,673.75,9627.35,481778.93
2049,660.4100000000001,28377.46,4568.209999999999,67004.43000000002,66687.79,1914.4,47007.34999999999,13839.029999999999,2413.3799999999997,45.34,6941.91,4706.27,74703.88999999998,1341.51,23664.31,34208.22,58908.81,1138.12,673.76,9849.81,489923.31
2050,650.69,28380.660000000003,4612.61,68009.2,69013.11,1919.8100000000002,47514.11,14061.15,2416.47,45.34,7080.719999999999,4706.27,75477.48999999998,1341.51,24635.21,34983.58,58542.77,1163.99,673.77,10073.76,498193.14
