agno,comercial,industria y mineria,publico,residencial,transporte,generacion electrica,agricultura,emisiones fugitivas,otras industrias energia,procesos industriales,otros sectores,residuos,Escenario Base
2017,2.3899999999999997,17.509999999999998,0.30000000000000004,4.259999999999998,29.00999999999999,35.79,12.0,1,1.1,6.916,0.8817950390000001,4.615,114.55279499999999
2018,2.5599999999999996,17.749999999999996,0.31000000000000005,4.409999999999998,30.4,38.2,11.9,1,1.1,7.193,0.8817950390000001,4.8469999999999995,119.321795
2019,2.7299999999999995,18.329999999999995,0.31000000000000005,4.509999999999999,30.609999999999992,39.7,11.9,1,1.1,7.597,0.8817950390000001,5.052,122.46079499999999
2020,2.8899999999999997,18.77,0.33,4.649999999999998,31.2,42.19,11.9,1,1.1,7.932,0.8817950390000001,5.26,127.233795
2021,3.06,18.999999999999996,0.35,4.7399999999999975,31.860000000000003,36.65,11.9,1,1.1,8.578,0.8817950390000001,5.465,123.744795
2022,3.2399999999999998,19.419999999999998,0.35,4.819999999999998,32.51,39.64,11.9,1,1.1,9.01,0.8817950390000001,5.655,129.156795
2023,3.4,19.8,0.37,4.889999999999998,33.190000000000005,36.8,11.9,1,1.1,9.616,0.8817950390000001,5.837999999999999,133.005795
2024,3.5799999999999996,20.080000000000002,0.37,4.989999999999997,33.839999999999996,34.69,11.9,1,1.1,9.774,0.8817950390000001,6.013999999999999,131.789795
2025,3.7399999999999998,18.769999999999996,0.4,5.049999999999996,34.54999999999999,31.81,11.9,1,1.1,10.644,0.8817950390000001,6.181,131.596795
2026,3.93,18.709999999999997,0.4,5.129999999999996,34.91,32.44,12.0,1,1.1,11.277999999999999,0.8817950390000001,6.343,133.092795
2027,4.1,18.739999999999995,0.41000000000000003,5.199999999999996,35.31000000000001,31.28,12.0,1,1.1,11.607999999999999,0.8817950390000001,6.5,134.949795
2028,4.289999999999999,18.72,0.42000000000000004,5.249999999999995,35.71,31.47,12.0,1,1.1,11.937999999999999,0.8817950390000001,6.653,136.612795
2029,4.479999999999999,18.74,0.44000000000000006,5.329999999999996,36.08,29.79,12.0,1,1.1,12.443,0.8817950390000001,6.8020000000000005,139.216795
2030,4.68,18.889999999999997,0.44000000000000006,5.379999999999996,36.24,25.28,12.0,1,1.1,12.64,0.8817950390000001,6.947,140.918795
2031,4.869999999999999,18.759999999999994,0.46,5.429999999999996,36.38999999999999,14.83,12.0,1,1.1,13.065,0.8817950390000001,7.087999999999999,142.33479499999999
2032,5.08,18.86,0.46,5.509999999999996,36.609999999999985,14.98,12.0,1,1.1,13.42,0.8817950390000001,7.23,144.021795
2033,5.29,18.959999999999997,0.49,5.549999999999995,36.81,14.58,12.0,1,1.1,14.040999999999999,0.8817950390000001,7.372999999999999,145.18579499999998
2034,5.5,19.069999999999997,0.49,5.629999999999996,36.90999999999999,12.68,12.0,1,1.1,14.555,0.8817950390000001,7.517,145.503795
2035,5.72,18.989999999999995,0.5,5.679999999999997,37.129999999999995,11.77,12.1,1,1.1,15.087,0.8817950390000001,7.662000000000001,147.180795
2036,5.94,18.619999999999997,0.53,5.759999999999997,37.21,2.69,12.1,1,1.1,15.593,0.8817950390000001,7.808,148.962795
2037,6.180000000000001,18.55999999999999,0.53,5.789999999999998,37.17,2.69,12.1,1,1.1,16.079,0.8817950390000001,7.954,150.254795
2038,6.41,18.469999999999995,0.55,5.839999999999997,37.06,2.34,12.1,1,1.1,16.5,0.8817950390000001,8.101,151.242795
2039,6.670000000000001,18.409999999999993,0.55,5.899999999999999,36.86,2.37,12.1,1,1.1,16.826,0.8817950390000001,8.249,152.236795
2040,6.919999999999999,18.379999999999995,0.5800000000000001,5.939999999999999,36.18,2.47,12.1,1,1.1,17.179000000000002,0.8817950390000001,8.398,152.248795
2041,7.18,12.649999999999999,0.5800000000000001,5.999999999999998,35.160000000000004,0.6,12.1,1,1.1,17.516,0.8817950390000001,8.548,153.395795
2042,7.4399999999999995,12.729999999999997,0.5900000000000001,6.039999999999998,34.49999999999999,0.65,12.1,1,1.1,17.837,0.8817950390000001,8.7,154.82879499999999
2043,7.699999999999999,12.779999999999998,0.6200000000000001,6.089999999999998,33.86000000000001,0.61,12.1,1,1.1,18.105999999999998,0.8817950390000001,8.856,155.773795
2044,7.99,12.719999999999997,0.6200000000000001,6.179999999999997,34.06,0.53,12.1,1,1.1,18.365,0.8817950390000001,9.015,157.261795
2045,8.28,12.819999999999997,0.64,6.209999999999998,34.150000000000006,0.54,12.1,1,1.1,18.587,0.8817950390000001,9.177,158.225795
2046,8.569999999999999,12.789999999999996,0.64,6.249999999999998,30.550000000000004,0.2,12.2,1,1.1,18.695999999999998,0.8817950390000001,9.342,160.829795
2047,8.87,12.839999999999998,0.6699999999999999,6.289999999999998,25.240000000000002,0.22,12.2,1,1.1,18.808,0.8817950390000001,9.509,161.478795
2048,9.17,12.909999999999997,0.6799999999999999,6.3199999999999985,25.590000000000003,0.24,12.2,1,1.1,18.983,0.8817950390000001,9.679,161.263795
2049,9.51,12.959999999999997,0.6799999999999999,6.3599999999999985,25.690000000000005,0.28,12.2,1,1.1,19.229,0.8817950390000001,9.852,162.212795
2050,9.840000000000002,13.039999999999997,0.71,6.399999999999999,25.800000000000004,0.33,12.2,1,1.1,19.52,0.8817950390000001,10.027000000000001,163.538795
