agno,Escenario Base,Escenario_1
2017,0.938,0.9475188342607499
2018,0.9390000000000001,0.9486842361005847
2019,0.9329999999999999,0.9425195553096072
2020,0.9390000000000001,0.9452174193097108
2021,0.885,0.890790813166744
2022,0.895,0.8978975964828618
2023,0.894,0.8659719687374113
2024,0.86,0.8366975740560432
2025,0.8340000000000001,0.7984716462290243
2026,0.8190000000000001,0.7885125387002996
2027,0.807,0.7663324392209708
2028,0.794,0.7526489352326402
2029,0.787,0.7301365765884855
2030,0.7759999999999999,0.6906482075114274
2031,0.763,0.6209075374715548
2032,0.752,0.6112915184984159
2033,0.738,0.6004148313472485
2034,0.721,0.5815795475663263
2035,0.711,0.568514203175729
2036,0.7020000000000001,0.5150559727317832
2037,0.691,0.5063442272233198
2038,0.679,0.4957711065183827
2039,0.6679999999999999,0.48667857311876006
2040,0.653,0.47641009837847875
2041,0.643,0.4329027810576894
2042,0.634,0.4243060492622677
2043,0.624,0.4155530705959443
2044,0.617,0.40995753783220007
2045,0.607,0.40480316112364406
2046,0.604,0.3840755915145597
2047,0.594,0.3592831283715612
2048,0.581,0.3560680432631063
2049,0.573,0.35246979523631494
2050,0.5670000000000001,0.34939035454381445
