agno,emisiones_otros_sec,emisiones_gen,costo_inversion,costo_inversion_tx,coma,coma_tx,costo_operacion_otros_sec,costo_operacion_generacion
2017        ,       53.64,       35.79,        0.00,        0.00,        0.00,        0.00,    22680.20,     1047.58
2018        ,       55.56,       38.20,    47506.69,        0.00,    12774.48,        0.00,    23477.91,     1145.16
2019        ,       56.70,       39.70,    33211.80,        0.00,     8782.88,        0.00,    24471.12,     1133.86
2020        ,       58.05,       42.19,    29997.60,        0.00,     8376.95,        0.00,    25976.00,     1151.22
2021        ,       59.22,       36.65,    28693.00,        0.00,     7964.25,        0.00,    27041.13,      974.85
2022        ,       60.54,       39.64,    28676.70,        0.00,     7998.25,        0.00,    28166.72,     1100.53
2023        ,       61.85,       36.80,    31971.82,        0.00,     9146.87,        0.00,    29074.94,     1019.46
2024        ,       63.01,       34.69,    30370.98,        0.00,     8237.61,        0.00,    29925.59,      929.91
2025        ,       62.71,       31.81,    29751.56,        0.00,     7659.30,        0.00,    30641.08,      937.52
2026        ,       63.25,       32.44,    31756.00,        0.00,     5440.48,        0.00,    31440.17,     1000.53
2027        ,       63.97,       31.28,    31407.50,        0.00,     5722.54,        0.00,    32168.68,     1026.63
2028        ,       64.62,       31.47,    30207.05,        0.00,     5288.82,        0.00,    32735.04,     1054.94
2029        ,       65.26,       29.79,    32636.93,        0.00,     6136.74,        0.00,    33468.85,     1002.29
2030        ,       65.81,       25.28,    36268.29,        0.00,     6048.20,        0.00,    34330.82,      866.82
2031        ,       66.13,       14.83,    42691.77,        1.93,     7923.35,        0.30,    35140.88,      520.40
2032        ,       66.72,       14.98,    32500.61,        2.86,     5728.68,        0.50,    36057.92,      551.83
2033        ,       67.29,       14.58,    33151.79,       16.02,     5752.23,        2.50,    36464.13,      559.75
2034        ,       67.79,       12.68,    35140.17,       21.40,     5884.59,        3.30,    37143.05,      555.41
2035        ,       68.20,       11.77,    29867.39,       26.72,     5053.72,        4.10,    37708.04,      576.70
2036        ,       68.25,        2.69,    36580.56,       66.20,     5526.55,       10.10,    38636.88,      506.92
2037        ,       68.38,        2.69,    34129.59,       66.20,     5447.28,       10.10,    39016.91,      523.22
2038        ,       68.54,        2.34,    32650.41,      110.86,     5331.98,       16.80,    39468.98,      472.37
2039        ,       68.59,        2.37,    32622.20,      110.86,     5074.96,       16.80,    39969.43,      488.63
2040        ,       68.15,        2.47,    31905.86,      114.65,     4672.53,       17.40,    40141.97,      524.94
2041        ,       61.74,        0.60,    35170.00,      244.71,     7042.20,       37.10,    41076.79,      177.46
2042        ,       61.46,        0.65,    28695.62,      245.77,     3872.76,       37.30,    41240.19,      193.86
2043        ,       61.19,        0.61,    27193.21,      254.95,     3743.44,       38.70,    41600.26,      192.92
2044        ,       61.72,        0.53,    12404.43,      300.67,     1701.84,       45.60,    42367.11,      175.41
2045        ,       62.21,        0.54,    11152.66,      300.67,     1614.00,       45.60,    43127.15,      180.62
2046        ,       58.94,        0.20,    28172.14,      318.35,     3021.90,       48.30,    43625.41,      197.00
2047        ,       54.02,        0.22,    28036.82,      374.78,     2460.49,       56.60,    44450.25,      329.08
2048        ,       54.81,        0.24,     5067.60,      374.78,      784.28,       56.60,    45256.36,      407.90
2049        ,       55.35,        0.28,     4454.78,      387.67,      737.39,       58.50,    46047.04,      426.95
2050        ,       55.92,        0.33,     2363.36,      387.67,      383.92,       58.50,    46873.63,      543.35
